City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Asbe Teferi,ET,72.23,clear sky,9.0833,40.8667,Megenagna hotel
130,Kutum,SD,64.47,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
131,San Patricio,US,73.4,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
132,Hobart,AU,60.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
134,Amahai,ID,86.07,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
137,Poum,NC,81.9,few clouds,-20.2333,164.0167,Gîte kajeon
138,Riyadh,SA,86.0,clear sky,24.6877,46.7219,InterContinental Riyadh
141,Chuy,UY,68.88,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
142,Eyl,SO,84.6,broken clouds,7.9803,49.8164,Amiin Hotel
143,Cabo San Lucas,MX,64.4,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
144,Hasaki,JP,64.99,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
148,San Felipe,VE,70.36,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
149,San Onofre,CO,81.34,scattered clouds,9.7359,-75.5263,Hotel Sinai
150,Waingapu,ID,84.07,light rain,-9.6567,120.2641,Pondok Wisata Elim
151,Buala,SB,84.63,light rain,-8.145,159.5921,Maringe Lagoon Lodge
153,Howard Springs,AU,93.0,broken clouds,-12.497,131.047,buffalo beach hostel
155,Katsuura,JP,64.99,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
156,Castro,BR,62.92,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
157,Norcasia,CO,69.89,light rain,5.5778,-74.8852,Hotel Amani
158,Hithadhoo,MV,83.64,clear sky,-0.6,73.0833,Scoop Guest House
160,Cockburn Town,TC,77.2,clear sky,21.4612,-71.1419,Osprey Beach Hotel
162,Santo Domingo,DO,75.0,few clouds,18.5001,-69.9886,Cabañas City Heart
166,Saint-Pierre,RE,84.99,clear sky,-21.3393,55.4781,Lindsey Hôtel
168,Faanui,PF,83.08,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
169,Semporna,MY,86.0,few clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
170,Itarema,BR,74.07,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
171,Isangel,VU,81.03,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
172,Padang,ID,86.0,few clouds,-0.9492,100.3543,Mercure Padang
174,Labuhan,ID,84.96,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
175,New Norfolk,AU,60.01,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
180,Oriximina,BR,72.63,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
184,Ugoofaaru,MV,83.08,overcast clouds,5.6667,73.0,Ungoofaaru Inn
185,Port Alfred,ZA,69.21,broken clouds,-33.5906,26.891,The Halyards Hotel
186,East London,ZA,66.2,few clouds,-33.0153,27.9116,Tu Casa
189,Shimoda,JP,60.8,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
190,Hualmay,PE,68.88,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
192,Brandon,US,73.0,clear sky,27.9378,-82.2859,Brandon Motor Lodge
193,Dunedin,NZ,64.0,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
194,Muncar,ID,86.05,overcast clouds,-8.4333,114.3333,Zaky Homestay
198,Tuatapere,NZ,63.0,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
199,Almeirim,BR,71.6,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
201,Acapulco,MX,74.55,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
202,Ilebo,CD,69.53,light rain,-4.3167,20.5833,Hôtel BUMAK
205,Kalabo,ZM,69.06,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
207,Vredendal,ZA,63.34,few clouds,-31.6683,18.5012,Tharrakamma Guest House
209,Saint-Joseph,RE,84.99,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
211,Galle,LK,87.33,overcast clouds,6.0367,80.217,Amangalla
212,Jacareacanga,BR,71.15,light rain,-6.2222,-57.7528,Casa do Ian😎
213,Wonthaggi,AU,68.0,scattered clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
215,Marsabit,KE,69.55,overcast clouds,2.3284,37.9899,Chicho Hotel
219,Bengkulu,ID,84.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
223,Dubbo,AU,77.0,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
230,Cayenne,GF,79.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
232,Muroto,JP,66.2,broken clouds,33.2833,134.15,Oota Ryokan
235,Champerico,GT,64.99,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
239,Inhambane,MZ,78.8,light rain,-23.865,35.3833,Oceano
240,Makakilo City,US,77.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
241,Tura,IN,94.14,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
242,Dingle,PH,87.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
244,Tres Lagoas,BR,73.2,scattered clouds,-20.7511,-51.6783,Druds Express Hotel
247,Geraldton,AU,82.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
248,Mahebourg,MU,82.4,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
249,Te Anau,NZ,60.31,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
250,Kupang,ID,87.8,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
251,Garmsar,IR,71.24,scattered clouds,35.2182,52.3409,Peyvand Hotel
252,Dhemaji,IN,84.2,haze,27.4833,94.5833,SPOT ON 48710 Hotel Shikha SPOT
253,Grand-Santi,GF,70.27,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
255,Tiarei,PF,84.2,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
256,Shache,CN,73.58,few clouds,38.4167,77.2406,Delong Hotel
261,Broken Hill,AU,77.0,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
262,Axim,GH,78.53,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
264,Alice Springs,AU,91.4,clear sky,-23.7,133.8833,Desert Palms Alice Springs
265,Ararangua,BR,70.36,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
267,Tautira,PF,84.2,light rain,-17.7333,-149.15,Pension Oaoa
270,Beruwala,LK,86.2,overcast clouds,6.4788,79.9828,The Palms Hotel
271,Ahipara,NZ,66.25,light rain,-35.1667,173.1667,Ahipara Holiday Park
272,Charters Towers,AU,89.85,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
274,Hami,CN,65.8,overcast clouds,42.8,93.45,Laoyutang Resort
275,Blackwater,AU,89.65,clear sky,-23.5833,148.8833,Blackwater Motor Inn
276,Canaway,PH,82.35,overcast clouds,13.3185,123.7131,Dos Montes Spring Resort
278,Mangrol,IN,91.51,clear sky,21.1167,70.1167,Hotel The Royal Honours
281,Hobyo,SO,84.02,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
282,Saldanha,ZA,62.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
283,Puerto Leguizamo,CO,69.89,overcast clouds,-0.1934,-74.7819,la casona de juancho
284,Moengo,SR,71.46,few clouds,5.6167,-54.4,Masanga
286,Taltal,CL,63.81,clear sky,-25.4,-70.4833,Residencial Karime
288,Codrington,AU,63.81,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
290,Kruisfontein,ZA,69.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
292,Manta,EC,73.45,broken clouds,-0.95,-80.7333,Balandra Hotel
295,Ixtapa,MX,66.99,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
297,Grand Gaube,MU,84.99,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
298,Nelson,NZ,66.0,overcast clouds,-41.2833,173.2833,Rutherford Hotel Nelson
300,Hukuntsi,BW,68.7,few clouds,-24.0,21.75,Entabeni Hotel
302,Cairns,AU,86.0,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
304,Meulaboh,ID,85.21,overcast clouds,4.1363,96.1285,Kost Pria
306,Airai,TL,68.83,overcast clouds,-8.9266,125.4092,Juvinal Martin
311,Kismayo,SO,83.46,overcast clouds,-0.3582,42.5454,Agan-Hotel
316,Kimberley,ZA,60.8,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
318,San Cristobal,VE,66.61,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
319,Kavaratti,IN,83.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
322,Khash,IR,79.97,scattered clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
323,Cuamba,MZ,73.63,clear sky,-14.8031,36.5372,Hotel Vision
324,Morondava,MG,78.76,clear sky,-20.2833,44.2833,La Case Bambou
328,Cidreira,BR,71.15,overcast clouds,-30.1811,-50.2056,Hotel Castelo
329,Huarmey,PE,70.25,overcast clouds,-10.0681,-78.1522,Hotel Miramar
331,Mogadishu,SO,82.4,scattered clouds,2.0371,45.3438,Olympic Hotel
332,Oussouye,SN,69.91,clear sky,12.485,-16.5469,Auberge du Routard
334,Alofi,NU,82.4,broken clouds,-19.0595,-169.9187,Taloa Heights
335,Coxim,BR,70.54,clear sky,-18.5067,-54.76,Hotel Avenida
336,Keti Bandar,PK,86.07,clear sky,24.1447,67.4497,Haji laloo memon house
337,Lukaya,UG,69.8,light rain,-0.1489,31.8748,lemba salongo
340,Udalguri,IN,93.11,clear sky,26.7667,92.1333,"Army Camp, Golandi"
341,The Valley,AI,77.0,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
342,Humberto De Campos,BR,72.61,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
344,Ambon,ID,86.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
346,Gizo,SB,86.74,light rain,-8.103,156.8419,Imagination Island
349,Tela,HN,75.0,clear sky,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
350,Ibadan,NG,73.76,scattered clouds,7.3878,3.8964,Majerita Hotel And Suites
354,Saint-Georges,GD,77.0,few clouds,12.0564,-61.7485,Siesta Hotel
355,Port Lincoln,AU,67.59,few clouds,-34.7333,135.8667,Port Lincoln Hotel
356,Iralaya,HN,78.12,clear sky,15.0,-83.2333,Iglesia morava renovada
357,Kaseda,JP,69.8,volcanic ash,31.4167,130.3167,Sun Stay Kaseda
358,Korla,CN,63.43,overcast clouds,41.7597,86.1469,Gulisitan Hotel
359,Praxedis Guerrero,MX,62.6,clear sky,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
360,Nguru,NG,67.42,scattered clouds,12.8791,10.4526,Government Lodge
361,Dosso,NE,74.79,few clouds,13.049000000000001,3.1937,Hotel Toubal
363,Pisco,PE,66.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
369,Cap Malheureux,MU,84.99,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
372,Los Llanos De Aridane,ES,66.2,overcast clouds,28.6585,-17.9182,Valle Aridane
374,Maceio,BR,73.4,mist,-9.6658,-35.7353,Poutur Pousada
377,Alappuzha,IN,85.66,overcast clouds,9.49,76.3264,Panoramic Sea Resort
379,Honiara,SB,85.44,broken clouds,-9.4333,159.95,Heritage Park Hotel
380,Sehithwa,BW,72.73,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
381,Isagarh,IN,92.34,clear sky,24.8333,77.8833,ACC Cement
387,Puerto Rondon,CO,72.7,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
388,Maragogi,BR,76.06,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
389,Pangkalanbuun,ID,90.72,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
394,Polonnaruwa,LK,86.94,overcast clouds,7.9333,81.0,Thisara Guest House
395,Ponta Do Sol,PT,64.4,broken clouds,32.6667,-17.1,Hotel do Campo
397,Namatanai,PG,83.95,light rain,-3.6667,152.4333,Namatanai Hotel
399,Bandarbeyla,SO,81.66,overcast clouds,9.4942,50.8122,JABIR HOTEL
401,Olinda,BR,75.2,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
405,Plettenberg Bay,ZA,64.58,light rain,-34.0527,23.3716,Thanda Vista B&B
407,Belmonte,BR,71.6,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
409,Neiafu,TO,82.4,light rain,-18.65,-173.9833,Mystic Sands
415,Benjamin Constant,BR,77.0,light rain,-4.3831,-70.0311,CASA AVALIADA
416,Lima,PE,68.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
417,Conde,BR,75.2,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
419,Miami,US,77.0,scattered clouds,25.7743,-80.1937,Miami Sun Hotel
420,Sechura,PE,72.97,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
421,Namasuba,UG,72.39,overcast clouds,0.6894,32.4214,Mwanje's Rentals
423,Mitsamiouli,KM,83.55,light rain,-11.3847,43.2844,Foyer ADM
425,Gunjur,GM,69.8,clear sky,13.2019,-16.7339,Kuba Lodge
427,Buraydah,SA,64.4,clear sky,26.326,43.975,فندق راحة السلام
428,Naze,JP,73.4,few clouds,28.3667,129.4833,奄美ポートタワーホテル
429,Boyuibe,BO,64.31,very heavy rain,-20.4167,-63.2833,Residencial Eluzai
432,Denpasar,ID,89.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
433,Kitgum,UG,76.24,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
434,Quelimane,MZ,77.0,few clouds,-17.8786,36.8883,Hotel Flamingo
435,Dwarka,IN,85.44,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
436,Asfi,MA,64.49,broken clouds,32.2994,-9.2372,Hôtel Abda
437,Tecoanapa,MX,73.53,clear sky,16.5167,-98.75,Hotel Manglares
439,Ransang,PH,84.25,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
440,Charlestown,AU,75.99,scattered clouds,-32.95,151.6667,Panorama Motor Inn Hotel
442,Kampot,KH,91.4,scattered clouds,10.6167,104.1833,Two Moons Hotel
444,Mirabela,BR,64.27,broken clouds,-16.2628,-44.1644,Hotel e Restaurante Barril
448,Bowen,AU,86.0,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
450,Batemans Bay,AU,73.99,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
452,Venice,US,73.99,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
454,Vila Do Maio,CV,68.0,few clouds,15.1333,-23.2167,Residence 'I Delfini'
455,Pombal,BR,76.6,light rain,-6.7703,-37.8017,Pousada Shalom
456,Vila Velha,BR,71.6,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
468,Faya,SA,68.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
471,Tuscaloosa,US,69.8,broken clouds,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
472,Ormara,PK,81.05,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
473,Humaita,BR,72.43,broken clouds,-7.5061,-63.0208,Corrêa Hotel
483,Inverell,AU,75.0,scattered clouds,-29.7833,151.1167,Sapphire City Motor Inn
484,Portobelo,PA,79.0,broken clouds,9.55,-79.65,Scuba Portobelo
485,Korhogo,CI,75.63,clear sky,9.45,-5.6333,Hôtel Tchinbota
490,Ambajogai,IN,93.97,clear sky,18.7333,76.3833,Hotel Krushnai
492,Yulara,AU,82.4,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
494,Soto La Marina,MX,69.01,overcast clouds,23.7667,-98.2167,Hotel Chicago
495,Ailigandi,PA,78.91,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
496,Camacha,PT,62.6,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
500,Ginda,IN,82.4,haze,30.6945,78.4932,Bal uma sankar hotel and restaurant
508,Jalalpur Pirwala,PK,94.64,clear sky,29.5069,71.2192,Bhatti Easy Paisa Shop
509,Codajas,BR,73.04,overcast clouds,-3.8367,-62.0569,Hotel Tamires
514,Meteti,PA,77.29,broken clouds,8.4983,-77.9786,Txai Mauá
519,Sibolga,ID,81.48,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
520,Solwezi,ZM,61.99,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
523,Anito,PH,82.33,overcast clouds,12.4497,125.2886,The Yellow House
524,Flinders,AU,80.01,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
525,Jeremie,HT,75.87,clear sky,18.65,-74.1167,Auberge’Inn
527,Meiganga,CM,67.68,overcast clouds,6.5167,14.3,DFR HOUSE
529,Muscat,OM,86.0,few clouds,23.6139,58.5922,Mutrah Hotel
530,Kirakira,SB,84.09,scattered clouds,-10.4544,161.9205,SanBiz Lodge
533,Hue,VN,86.0,few clouds,16.4667,107.6,Saigon Morin Hotel
535,Kijang,KR,66.2,light rain,35.2442,129.2139,Samyang Beach Villa
538,Ibra,OM,90.84,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
540,Praya,CV,68.0,few clouds,14.9215,-23.5087,LT Aparthotel
542,Fukue,JP,66.2,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
544,Angoche,MZ,79.02,scattered clouds,-16.2325,39.9086,Guest House HESADA
545,Bintulu,MY,84.2,scattered clouds,3.1667,113.0333,900 Boutique INN
546,Muzaffarabad,PK,77.0,broken clouds,34.37,73.4711,Pearl Continental Muzaffarabad
548,Port Blair,IN,86.86,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
551,Basco,PH,78.37,few clouds,20.4487,121.9702,Nathaniel's Lodge
552,Aswan,EG,61.03,clear sky,24.0934,32.907,Nuba Nile
555,Barkhan,PK,84.61,clear sky,29.8977,69.5256,Sardar
558,Pedernales,DO,77.16,clear sky,18.0384,-71.744,Hotel Costa Marina
561,Camocim,BR,74.48,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
563,Pangai,TO,82.4,light rain,-19.8,-174.35,Ha'apai Beach Resort
565,Bontang,ID,76.66,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
569,Santa Rosa,PH,93.2,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
570,Gold Coast,AU,84.0,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
571,Bonthe,SL,76.71,few clouds,7.5264,-12.505,Bonthe Holiday Village
572,Simao,CN,86.76,clear sky,22.7886,100.9748,Changyu Hotel
575,Sao Goncalo Do Sapucai,BR,66.0,few clouds,-21.8922,-45.5953,Novo Hotel
576,Camara De Lobos,PT,64.4,broken clouds,32.6333,-16.9667,Golden Residence Hotel
577,Russell,US,66.2,overcast clouds,32.3502,-85.1999,Macs
578,Merauke,ID,83.01,overcast clouds,-8.4667,140.3333,PC
580,Namibe,AO,74.98,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
582,Murray Bridge,AU,69.01,scattered clouds,-35.1167,139.2667,Balcony On Sixth Lodge
587,Vaitape,PF,83.07,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
591,Kudahuvadhoo,MV,81.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
592,Dhidhdhoo,MV,84.22,overcast clouds,6.8833,73.1,Dhidhoo beach
593,Quchan,IR,66.99,clear sky,37.106,58.5095,گلیم دستبافت کیمیایی
594,Kieta,PG,83.7,light rain,-6.2167,155.6333,Uruna Bay Retreat
595,Harper,LR,77.92,clear sky,4.375,-7.7169,Screensaver
598,Balabac,PH,84.07,broken clouds,7.9868,117.0645,Sing and Swing Lodge
599,Kishtwar,IN,69.04,scattered clouds,33.3167,75.7667,Heritage Bagh by Himalayan Musk
601,Mangan,IN,84.11,clear sky,27.5167,88.5333,Hotel Mout View
603,Fushun,CN,60.8,clear sky,41.8558,123.9233,Love Theme Apartment Xinhua Branch
604,Panzhihua,CN,75.99,clear sky,26.5851,101.7128,Electric Power Hotel
606,Christchurch,NZ,71.6,broken clouds,-43.5333,172.6333,The George
608,Fulton,US,66.99,broken clouds,33.7668,-84.4499,Gorgeous City Home!!! Sleeps 10!!
611,Hays,US,64.0,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
614,Yuyao,CN,77.0,clear sky,30.05,121.1494,Grand Pacific Hotel Ningbo
615,Jardim,BR,71.47,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
616,Parati,BR,74.1,clear sky,-23.2178,-44.7131,Che Lagarto Paraty
617,Sao Jose Da Coroa Grande,BR,76.35,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
618,Ahuimanu,US,77.0,broken clouds,21.4447,-157.8378,Paradise Bay Resort
624,Vanimo,PG,83.41,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
625,Sola,VU,83.16,broken clouds,-13.8833,167.55,Leumerus Bungalows
626,Umm Bab,QA,90.0,clear sky,25.2142,50.8072,mike beach
628,Wana,PK,76.87,clear sky,32.2989,69.5725,Rest House at Wana Camp
635,Ilhabela,BR,76.37,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
638,Antalaha,MG,82.54,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
640,Tezu,IN,94.41,clear sky,27.9167,96.1667,Circuit House
642,Domoni,KM,84.22,light rain,-12.2569,44.5319,Al Djadid
643,Emerald,AU,91.99,scattered clouds,-23.5333,148.1667,The Irish Village
645,Jayanca,PE,69.01,light rain,-6.3908,-79.8219,Rancho Santana Horseback Riding
646,Boyolangu,ID,85.1,broken clouds,-8.1181,111.8935,Yos ega cv
647,Sinnamary,GF,75.61,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
