City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mount Gambier,AU,2021-03-25 12:42:01,-37.8333,140.7667,55.4,94,90,6.91
68,Saskylakh,RU,2021-03-25 12:42:02,71.9167,114.0833,-10.93,100,99,5.48
69,Bilma,NE,2021-03-25 12:42:02,18.6853,12.9164,85.28,7,0,17.25
70,Fortuna,US,2021-03-25 12:40:53,40.5982,-124.1573,46.0,93,90,10.36
71,Owando,CG,2021-03-25 12:42:02,-0.4819,15.8999,71.46,96,100,3.29
72,Giresun,TR,2021-03-25 12:42:03,40.5,38.5,44.6,65,75,11.5
73,Bandarbeyla,SO,2021-03-25 12:42:03,9.4942,50.8122,81.19,54,7,10.42
74,Leh,IN,2021-03-25 12:42:04,34.1667,77.5833,31.5,45,60,3.24
75,Adrar,MR,2021-03-25 12:42:04,20.5022,-10.0711,88.66,6,0,17.07
76,Sur,OM,2021-03-25 12:42:05,22.5667,59.5289,84.94,45,0,11.99
77,Bredasdorp,ZA,2021-03-25 12:42:05,-34.5322,20.0403,80.6,54,0,18.41
78,Yellowknife,CA,2021-03-25 12:42:06,62.456,-114.3525,-9.99,77,1,6.91
79,Lavrentiya,RU,2021-03-25 12:42:06,65.5833,-171.0,0.5,91,98,6.13
80,Ribeira Grande,PT,2021-03-25 12:42:06,38.5167,-28.7,62.6,59,40,8.05
81,New Norfolk,AU,2021-03-25 12:42:07,-42.7826,147.0587,57.99,65,100,1.99
82,Vahan,AM,2021-03-25 12:42:07,40.5755,45.3977,36.48,59,78,15.77
83,Panjab,AF,2021-03-25 12:42:07,34.388,67.0233,37.04,95,99,2.39
84,Port Elizabeth,ZA,2021-03-25 12:42:08,-33.918,25.5701,73.4,73,90,17.27
85,Plouzane,FR,2021-03-25 12:42:08,48.3833,-4.6167,53.6,82,90,23.02
86,Aykhal,RU,2021-03-25 12:42:09,66.0,111.5,10.18,96,100,10.67
87,Nyimba,ZM,2021-03-25 12:42:09,-14.5566,30.8149,74.98,79,93,4.76
88,Lompoc,US,2021-03-25 12:38:14,34.6391,-120.4579,48.2,93,90,14.07
89,Mar Del Plata,AR,2021-03-25 12:37:33,-38.0023,-57.5575,69.01,94,90,2.75
90,Touros,BR,2021-03-25 12:42:10,-5.1989,-35.4608,77.0,94,75,6.91
91,Iskitim,RU,2021-03-25 12:42:10,54.6366,83.3045,32.0,69,20,6.71
92,Rocha,UY,2021-03-25 12:38:26,-34.4833,-54.3333,71.06,78,100,8.08
93,Ambon,ID,2021-03-25 12:42:10,-3.6954,128.1814,78.8,89,20,9.22
94,Nazarovo,RU,2021-03-25 12:42:11,56.0064,90.3914,24.17,96,100,4.36
95,Yonago,JP,2021-03-25 12:42:11,35.4333,133.3333,48.2,81,20,4.61
96,Bengkulu,ID,2021-03-25 12:42:11,-3.8004,102.2655,79.25,82,100,1.39
97,Puerto Ayora,EC,2021-03-25 12:42:12,-0.7393,-90.3518,75.0,95,44,5.35
98,Kimbe,PG,2021-03-25 12:42:12,-5.5502,150.1429,77.58,90,97,2.89
