City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Maputo,MZ,-25.9653,32.5892,73.99,88,20,5.75,few clouds
80,Znamenskoye,RU,57.1281,73.8282,32.68,98,100,5.73,overcast clouds
81,Grindavik,IS,63.8424,-22.4338,19.4,58,0,8.05,clear sky
82,Tacuati,PY,-23.45,-56.5833,73.94,61,17,3.67,few clouds
83,Dongsheng,CN,39.8161,109.9776,60.66,12,4,21.47,clear sky
84,Rocha,UY,-34.4833,-54.3333,67.05,96,93,3.69,overcast clouds
85,Turka,UA,49.1541,23.0297,41.0,100,10,13.0,clear sky
86,Kodiak,US,57.79,-152.4072,32.49,60,5,9.53,clear sky
87,Kalakamati,BW,-20.5929,27.3121,55.4,100,0,3.44,clear sky
88,Saint George,US,37.1041,-113.5841,51.8,32,1,10.36,clear sky
89,Busselton,AU,-33.65,115.3333,77.0,49,17,1.99,few clouds
90,Tobol,KZ,52.6844,62.5794,29.05,95,100,5.01,light snow
91,Atar,MR,20.5169,-13.0499,72.43,22,6,5.37,clear sky
92,Banjar,ID,-8.19,114.9675,89.6,58,20,10.36,few clouds
93,Saint-Nazaire,FR,47.2833,-2.2,45.0,87,0,6.91,clear sky
94,Goderich,CA,43.7501,-81.7165,37.4,87,77,4.61,broken clouds
95,Wanning,CN,18.8003,110.3967,82.44,64,53,9.13,broken clouds
96,Nikolskoye,RU,59.7035,30.7861,37.0,93,50,4.47,mist
97,Hovd,MN,48.0056,91.6419,33.35,31,80,5.08,broken clouds
98,Barrow,US,71.2906,-156.7887,-14.8,76,1,4.41,clear sky
99,Luderitz,NA,-26.6481,15.1594,62.53,75,0,9.26,clear sky
100,Santiago Del Estero,AR,-27.7951,-64.2615,64.15,69,100,8.57,overcast clouds
101,Mount Gambier,AU,-37.8333,140.7667,64.4,55,75,14.97,broken clouds
102,Phalaborwa,ZA,-23.943,31.1411,68.0,88,0,1.14,clear sky
103,Zhigansk,RU,66.7697,123.3711,20.01,93,100,16.8,light snow
104,Ternate,ID,0.8,127.4,82.4,77,95,10.67,overcast clouds
105,Mayo,US,38.8876,-76.5119,60.8,51,1,11.5,clear sky
106,Provideniya,RU,64.3833,-173.3,2.8,95,98,4.32,overcast clouds
